iter	Passed	Remaining
0	25	20232
1	43	17474
2	63	16764
3	82	16339
4	100	15907
5	119	15837
6	137	15616
7	157	15543
8	175	15394
9	193	15313
10	212	15249
11	229	15055
12	247	14953
13	263	14783
14	280	14668
15	297	14570
16	314	14471
17	332	14464
18	350	14414
19	368	14387
20	387	14363
21	405	14322
22	421	14247
23	439	14219
24	457	14176
25	476	14175
26	496	14212
27	512	14141
28	531	14126
29	551	14144
30	570	14149
31	588	14123
32	605	14067
33	624	14077
34	642	14032
35	659	13998
36	675	13938
37	693	13910
38	711	13887
39	731	13901
40	750	13889
41	767	13849
42	783	13793
43	799	13745
44	817	13712
45	835	13695
46	852	13662
47	869	13616
48	886	13585
49	902	13532
50	920	13515
51	937	13483
52	956	13479
53	977	13500
54	996	13504
55	1014	13478
56	1033	13465
57	1052	13466
58	1070	13444
59	1085	13390
60	1100	13329
61	1115	13281
62	1133	13263
63	1153	13263
64	1174	13283
65	1192	13267
66	1210	13246
67	1227	13210
68	1243	13173
69	1259	13135
70	1277	13112
71	1295	13101
72	1314	13094
73	1333	13083
74	1351	13063
75	1368	13040
76	1387	13031
77	1407	13029
78	1426	13019
79	1443	12990
80	1462	12984
81	1480	12964
82	1498	12945
83	1516	12929
84	1534	12903
85	1553	12896
86	1569	12864
87	1587	12844
88	1605	12829
89	1623	12807
90	1639	12774
91	1657	12754
92	1676	12745
93	1694	12729
94	1716	12736
95	1736	12731
96	1757	12735
97	1781	12763
98	1808	12806
99	1825	12781
100	1852	12818
101	1879	12858
102	1903	12881
103	1927	12898
104	1950	12913
105	1981	12971
106	2008	13007
107	2030	13013
108	2061	13067
109	2089	13109
110	2116	13138
111	2138	13139
112	2157	13113
113	2176	13095
114	2192	13060
115	2209	13029
116	2224	12984
117	2239	12946
118	2259	12928
119	2276	12898
120	2293	12868
121	2308	12831
122	2324	12794
123	2339	12756
124	2357	12729
125	2374	12700
126	2390	12670
127	2408	12646
128	2427	12627
129	2445	12603
130	2465	12589
131	2485	12576
132	2502	12549
133	2519	12522
134	2536	12495
135	2553	12466
136	2571	12442
137	2587	12412
138	2604	12386
139	2622	12361
140	2640	12340
141	2658	12319
142	2676	12297
143	2694	12274
144	2716	12273
145	2736	12257
146	2756	12246
147	2775	12225
148	2794	12209
149	2812	12187
150	2829	12161
151	2847	12140
152	2865	12118
153	2883	12093
154	2901	12075
155	2920	12056
156	2938	12034
157	2956	12012
158	2973	11987
159	2991	11967
160	3010	11949
161	3028	11925
162	3044	11896
163	3060	11869
164	3077	11843
165	3094	11819
166	3111	11794
167	3130	11776
168	3147	11753
169	3165	11732
170	3182	11706
171	3198	11678
172	3218	11664
173	3236	11645
174	3254	11621
175	3271	11598
176	3289	11578
177	3307	11556
178	3324	11533
179	3343	11515
180	3361	11494
181	3377	11470
182	3395	11447
183	3412	11423
184	3427	11394
185	3443	11367
186	3460	11344
187	3479	11326
188	3497	11306
189	3515	11285
190	3532	11263
191	3551	11247
192	3569	11227
193	3587	11205
194	3607	11191
195	3633	11197
196	3682	11272
197	3706	11270
198	3729	11264
199	3759	11278
200	3781	11268
201	3801	11254
202	3821	11237
203	3841	11222
204	3859	11202
205	3879	11185
206	3901	11176
207	3918	11153
208	3937	11134
209	3961	11130
210	3984	11122
211	4012	11129
212	4034	11119
213	4056	11107
214	4073	11082
215	4094	11071
216	4115	11057
217	4137	11046
218	4162	11043
219	4186	11038
220	4211	11033
221	4239	11038
222	4263	11031
223	4284	11017
224	4313	11022
225	4338	11018
226	4361	11010
227	4379	10987
228	4397	10965
229	4419	10952
230	4437	10930
231	4454	10905
232	4472	10882
233	4490	10860
234	4506	10835
235	4523	10811
236	4540	10786
237	4556	10759
238	4574	10736
239	4591	10713
240	4608	10690
241	4626	10668
242	4644	10646
243	4663	10625
244	4681	10604
245	4702	10590
246	4719	10566
247	4737	10544
248	4756	10525
249	4774	10502
250	4791	10481
251	4812	10464
252	4830	10442
253	4849	10424
254	4868	10404
255	4885	10380
256	4903	10359
257	4918	10333
258	4935	10308
259	4953	10289
260	4970	10265
261	4990	10246
262	5007	10225
263	5025	10202
264	5040	10177
265	5058	10155
266	5075	10131
267	5094	10112
268	5111	10089
269	5129	10068
270	5147	10048
271	5165	10026
272	5181	10002
273	5199	9981
274	5215	9956
275	5234	9937
276	5254	9920
277	5272	9900
278	5289	9878
279	5307	9856
280	5324	9835
281	5343	9814
282	5360	9792
283	5377	9770
284	5394	9748
285	5409	9722
286	5426	9699
287	5445	9681
288	5464	9662
289	5481	9640
290	5499	9619
291	5521	9606
292	5541	9589
293	5561	9572
294	5578	9550
295	5597	9530
296	5614	9509
297	5632	9487
298	5650	9468
299	5670	9451
300	5693	9438
301	5712	9419
302	5730	9400
303	5749	9381
304	5768	9362
305	5787	9343
306	5806	9325
307	5824	9304
308	5841	9282
309	5858	9259
310	5877	9240
311	5896	9222
312	5915	9204
313	5933	9182
314	5951	9163
315	5971	9146
316	5987	9123
317	6007	9105
318	6025	9085
319	6042	9063
320	6061	9044
321	6080	9025
322	6115	9030
323	6133	9011
324	6156	8997
325	6177	8982
